"offer","brand","description","category","activated_date","expiration_date","url"
"$2.00 Off","Delsym®","on ONE (1) Delsym any size","Health Care > Cough/Cold Remedies > Cough/Cold: Adult","2018-01-01T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $5.00","FLONASE®","on any FLONASE® or FLONASE® Sensimist™ Spray 120 ct or larger","Health Care > Cough/Cold Remedies > Cough/Cold: Adult","2018-02-11T00:01:00-0800","2018-07-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","KIWI®","off any ONE (1) KIWI® Protectors Product","Household > Home Supplies > Shoe Care","2018-03-04T00:01:00-0800","2018-05-06T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) L'Oreal Paris Lip product","Personal Care > Cosmetics > Lipstick","2018-03-04T00:01:00-0800","2018-04-28T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $3.00","Schick Hydro Silk®","on ONE (1) Schick Hydro Silk® Razor or Refill (excludes Schick® Disposables & Men’s Razor or Refill)","Personal Care > Shaving Needs > Razors & Blades:  Women","2018-03-18T00:01:00-0700","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Newman's Own®","on any ONE (1) Newman's Own® Thin & Crispy Pizza","Foods > Frozen Foods > Frozen Pizza","2018-01-16T00:01:00-0800","2018-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Pearls® Specialties","on ONE (1) Pearls® Specialties Product","Foods > Condiments > Pickled Products","2018-03-18T00:01:00-0700","2018-04-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Cat Chow®","on one (1) 3.15lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety","Pet Care > Cat Food > Dry","2018-03-04T00:01:00-0800","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Beyond®","on ANY five (5) cans of Purina® Beyond® wet cat food","Pet Care > Cat Food > Canned","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","KOTEX® Liners","on any ONE (1) package of U by KOTEX® Liners (not valid on Liners 14-22 ct. or trial size/travel packs. Excludes U by KOTEX®","Personal Care > Feminine Hygiene > liners","2018-02-25T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $0.65","Silk®","on ONE (1) Silk® Soymilk Half Gallon or larger","Foods > Dairy > Dairy Drinks","2018-03-06T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.50","KOTEX® Pads","on any ONE (1) package of U by KOTEX® Pads (not valid on trial size/travel packs. Excludes U by KOTEX® FITNESS*)","Personal Care > Feminine Hygiene > liners","2018-02-25T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $4.00","Claritin® Redi-Tabs®","on Non Drowsy Claritin® Redi-Tabs® Allergy Product (30ct or larger)","Health Care > Cough/Cold Remedies > Cough/Cold: Adult","2018-03-18T00:01:00-0700","2018-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$5.00 OFF","Ocuvite®","ONE (1) Ocuvite® Eye Vitamins Product","Health Care > Vitamins > Adult","2018-03-18T00:01:00-0700","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"25¢ OFF","BOUNTY®","ONE Bounty® Paper Towels (excludes Bounty® Basic and trial/travel size)","Household > Paper/Plastic Products > Towels","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.50","SCJohnson","on any TWO (2) Windex® Products or Scrubbing Bubbles® Bathroom Cleaning Products (excludes travel and trial sizes)","Household > Household Cleaners/ Supplies > Cleaning Supplies","2018-02-25T00:01:00-0800","2018-04-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Fancy Feast®","on twelve (12) 3oz cans of Purina® Fancy Feast® brand wet cat food, any variety","Pet Care > Cat Food > Canned","2018-03-04T00:01:00-0800","2018-05-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","TRESemmé®","on any ONE (1) TRESemmé® shampoo or conditioner 22oz product (excludes trial and travel sizes)","Personal Care > Hair Care > Women","2018-03-19T00:01:00-0700","2018-03-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save 50¢","Swanson® Broth","on any TWO (2) Swanson® Broths or Stocks (32oz. or larger)","Foods > Soup > Soup","2018-03-15T00:01:00-0700","2018-04-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","L'Oreal Paris","on ANY ONE (1) 11 oz. standard size L’Oréal Paris Elnett Hairspray (excludes 2.2 oz. trial size)","Personal Care > Hair Care > Styling Aids","2018-03-04T00:01:00-0800","2018-05-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $4.00","Claritin-D®","on Non-Drowsy Claritin-D® Allergy Product (15ct or larger)","Health Care > Cough/Cold Remedies > Cough/Cold: Children","2018-03-02T00:01:00-0800","2018-07-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $6.00","Florastor","on ONE Florastor 50 cap, FlorastorPre or FlorastorPlus","Health Care > Dietary Supplements > Dietary Supplements","2018-01-15T00:01:00-0800","2019-01-14T23:59:00-0800","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
