"offer","brand","description","activated_date","expiration_date","url"
"SAVE $2.00","Persil®","on ONE (1) Persil® ProClean® Power-Liquid® or Power-Caps® Laundry Detergent (excludes 6 loads or less trial/travel sizes)","2018-03-11T00:01:00-0800","2018-04-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","Purex® Crystals™","on TWO (2) Purex® Crystals™ In-Wash Fragrance Boosters","2018-03-11T00:01:00-0800","2018-04-01T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Clairol®","ONE (1) box of Clairol® Color Crave or Specialty Blonding Collection (excludes trial/travel size)","2018-03-11T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","all®","on ONE (1) all® Laundry Product (excludes trial and travel Sizes)","2018-03-11T00:01:00-0800","2018-04-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Kellogg's® Cereals","on any TWO Kellogg's Raisin Bran™ and/or Kellogg's® Raisin Bran Crunch® cereals","2018-03-11T00:01:00-0800","2018-04-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","AIR WICK® PURE AIR FRESHENER","any ONE (1) Air Wick® Pure Air Freshener","2018-03-11T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","DIAL® or TONE®","on ONE (1) DIAL® or TONE® Body Wash and/or Bar Soap (6-bar or Larger) excludes trial and travel sizes","2018-03-11T00:01:00-0800","2018-03-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gas-X®","on ONE (1) Gas-X® product","2018-03-11T00:01:00-0800","2018-04-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Speed Stick®","On any VALUE TWIN PACKS ONLY Speed Stick® or Lady Speed Stick® Antiperspirant/Deodorant","2018-03-11T00:01:00-0800","2018-04-23T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","UNCLE BEN'S®","on any TWO (2) UNCLE BEN’S® Flavored Grains Rice Products","2018-03-11T00:01:00-0800","2018-05-02T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $0.75","TUMS®","on any ONE (1) TUMS® 28 count or larger","2018-03-11T00:01:00-0800","2018-04-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","SENSODYNE PRONAMEL","on any ONE (1) SENSODYNE or PRONAMEL Product (excludes 0.8 sizes)","2018-03-11T00:01:00-0800","2018-04-21T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
